,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fecha ,30-06-26,,,,,,,,,Fecha ,30-06-26
,Resumen Operacional Inspección interna,,,,,,,,,,Resumen Operacional Inspección externa,,,,,,,,
,N°,Parque ,Turbinas a Inspeccionar,Turbinas Inspeccionadas,WTG Pend ,Informes NL,Tiempo Total (Días),Promedio Palas Inspeccionadas,Equipo ,,N°,Parque ,Turbinas a Inspeccionar,Turbinas Inspeccionadas,WTG Pend ,Informes NL,Tiempo Total (Días),Promedio Palas Inspeccionadas,Equipo 
,1,Olavarria ,22,6,16,,6,1,1,,1,,,,,,,,
,2,La Elbita,36,4,32,,6,1,2,,2,,,,,,,,
,3,,,,,,,,,,3,,,,,,,,
,4,,,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TABLERO DE CONTROL OPERACIONAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Desempeño por Equipo,,,,,,,,,,,,,,,,,,
,Equipo,Parque,"Turb.
 Obj.",Inspecc.,Pend.,% Avance,"Días
 Sitio","Días
 Prod.",% Prod.,"Turb/
 Día",,,,,,,,,
,X-C,Olavarría,22,6,16,27.27%,6,6,100.00%,1,,,,,,,,,
,F-K,La Elbita,36,4,32,11.11%,6,4,66.67%,1,,,,,,,,,
,C. NAR,,,,,,,,,,,,,,,,,,
,TOTAL,,,,0,,,,,,,,,,,,,,
